"","newdate","Islamophobia","Anti_Muslim","Year"
"1","2011-01-01",0,1,2011
"2","2011-01-02",0,1,2011
"3","2011-01-03",0,1,2011
"4","2011-01-04",0,1,2011
"5","2011-01-05",0,0,2011
"6","2011-01-06",0,0,2011
"7","2011-01-07",0,0,2011
"8","2011-01-08",0,0,2011
"9","2011-01-09",0,0,2011
"10","2011-01-10",0,0,2011
"11","2011-01-11",0,1,2011
"12","2011-01-12",0,0,2011
"13","2011-01-13",0,0,2011
"14","2011-01-14",0,0,2011
"15","2011-01-15",0,1,2011
"16","2011-01-16",0,0,2011
"17","2011-01-17",0,0,2011
"18","2011-01-18",0,0,2011
"19","2011-01-19",2,0,2011
"20","2011-01-20",0,0,2011
"21","2011-01-21",0,1,2011
"22","2011-01-22",0,0,2011
"23","2011-01-23",0,0,2011
"24","2011-01-24",0,1,2011
"25","2011-01-25",0,0,2011
"26","2011-01-26",0,0,2011
"27","2011-01-27",0,0,2011
"28","2011-01-28",1,0,2011
"29","2011-01-29",0,1,2011
"30","2011-01-30",0,0,2011
"31","2011-01-31",2,1,2011
"32","2011-02-01",0,0,2011
"33","2011-02-02",0,0,2011
"34","2011-02-03",5,2,2011
"35","2011-02-04",8,0,2011
"36","2011-02-05",0,0,2011
"37","2011-02-06",0,0,2011
"38","2011-02-07",0,0,2011
"39","2011-02-08",80,0,2011
"40","2011-02-09",39,0,2011
"41","2011-02-10",4,0,2011
"42","2011-02-11",8,1,2011
"43","2011-02-12",7,1,2011
"44","2011-02-13",0,0,2011
"45","2011-02-14",6,0,2011
"46","2011-02-15",2,0,2011
"47","2011-02-16",2,0,2011
"48","2011-02-17",2,0,2011
"49","2011-02-18",12,0,2011
"50","2011-02-19",0,1,2011
"51","2011-02-20",0,0,2011
"52","2011-02-21",5,0,2011
"53","2011-02-22",7,0,2011
"54","2011-02-23",11,0,2011
"55","2011-02-24",6,0,2011
"56","2011-02-25",1,0,2011
"57","2011-02-26",1,0,2011
"58","2011-02-27",2,0,2011
"59","2011-02-28",5,1,2011
"60","2011-03-01",7,0,2011
"61","2011-03-02",7,1,2011
"62","2011-03-03",18,0,2011
"63","2011-03-04",16,1,2011
"64","2011-03-05",0,0,2011
"65","2011-03-06",2,0,2011
"66","2011-03-07",26,0,2011
"67","2011-03-08",27,0,2011
"68","2011-03-09",27,2,2011
"69","2011-03-10",17,0,2011
"70","2011-03-11",16,0,2011
"71","2011-03-12",4,2,2011
"72","2011-03-13",4,0,2011
"73","2011-03-14",5,0,2011
"74","2011-03-15",6,0,2011
"75","2011-03-16",3,0,2011
"76","2011-03-17",0,0,2011
"77","2011-03-18",2,1,2011
"78","2011-03-19",0,0,2011
"79","2011-03-20",2,0,2011
"80","2011-03-21",0,1,2011
"81","2011-03-22",5,1,2011
"82","2011-03-23",19,0,2011
"83","2011-03-24",7,0,2011
"84","2011-03-25",35,0,2011
"85","2011-03-26",1,1,2011
"86","2011-03-27",1,0,2011
"87","2011-03-28",17,0,2011
"88","2011-03-29",24,0,2011
"89","2011-03-30",28,1,2011
"90","2011-03-31",16,0,2011
"91","2011-04-01",60,0,2011
"92","2011-04-02",43,0,2011
"93","2011-04-03",29,3,2011
"94","2011-04-04",13,0,2011
"95","2011-04-05",0,1,2011
"96","2011-04-06",12,0,2011
"97","2011-04-07",4,0,2011
"98","2011-04-08",6,0,2011
"99","2011-04-09",3,0,2011
"100","2011-04-10",0,0,2011
"101","2011-04-11",11,0,2011
"102","2011-04-12",1,0,2011
"103","2011-04-13",2,0,2011
"104","2011-04-14",5,0,2011
"105","2011-04-15",7,1,2011
"106","2011-04-16",3,1,2011
"107","2011-04-17",0,2,2011
"108","2011-04-18",6,0,2011
"109","2011-04-19",5,2,2011
"110","2011-04-20",23,0,2011
"111","2011-04-21",13,2,2011
"112","2011-04-22",10,0,2011
"113","2011-04-23",10,0,2011
"114","2011-04-24",8,1,2011
"115","2011-04-25",12,0,2011
"116","2011-04-26",4,2,2011
"117","2011-04-27",1,1,2011
"118","2011-04-28",0,0,2011
"119","2011-04-29",8,2,2011
"120","2011-04-30",11,0,2011
"121","2011-05-01",1,1,2011
"122","2011-05-02",1,0,2011
"123","2011-05-03",5,0,2011
"124","2011-05-04",1,0,2011
"125","2011-05-05",2,2,2011
"126","2011-05-06",1,0,2011
"127","2011-05-07",1,0,2011
"128","2011-05-08",0,0,2011
"129","2011-05-09",0,1,2011
"130","2011-05-10",10,1,2011
"131","2011-05-11",3,0,2011
"132","2011-05-12",1,2,2011
"133","2011-05-13",4,0,2011
"134","2011-05-14",1,1,2011
"135","2011-05-15",0,0,2011
"136","2011-05-16",1,0,2011
"137","2011-05-17",2,0,2011
"138","2011-05-18",4,0,2011
"139","2011-05-19",9,1,2011
"140","2011-05-20",1,1,2011
"141","2011-05-21",0,1,2011
"142","2011-05-22",0,0,2011
"143","2011-05-23",0,1,2011
"144","2011-05-24",3,0,2011
"145","2011-05-25",0,1,2011
"146","2011-05-26",0,0,2011
"147","2011-05-27",1,0,2011
"148","2011-05-28",0,0,2011
"149","2011-05-29",0,0,2011
"150","2011-05-30",0,1,2011
"151","2011-05-31",2,0,2011
"152","2011-06-01",0,1,2011
"153","2011-06-02",0,1,2011
"154","2011-06-03",1,0,2011
"155","2011-06-04",0,2,2011
"156","2011-06-05",0,0,2011
"157","2011-06-06",2,0,2011
"158","2011-06-07",0,0,2011
"159","2011-06-08",20,1,2011
"160","2011-06-09",7,2,2011
"161","2011-06-10",5,0,2011
"162","2011-06-11",0,0,2011
"163","2011-06-12",0,0,2011
"164","2011-06-13",8,0,2011
"165","2011-06-14",12,1,2011
"166","2011-06-15",23,0,2011
"167","2011-06-16",12,1,2011
"168","2011-06-17",1,0,2011
"169","2011-06-18",2,0,2011
"170","2011-06-19",0,0,2011
"171","2011-06-20",6,1,2011
"172","2011-06-21",0,2,2011
"173","2011-06-22",12,0,2011
"174","2011-06-23",0,0,2011
"175","2011-06-24",3,0,2011
"176","2011-06-25",0,0,2011
"177","2011-06-26",0,0,2011
"178","2011-06-27",5,1,2011
"179","2011-06-28",10,1,2011
"180","2011-06-29",2,0,2011
"181","2011-06-30",1,0,2011
"182","2011-07-01",0,1,2011
"183","2011-07-02",0,0,2011
"184","2011-07-03",3,1,2011
"185","2011-07-04",0,0,2011
"186","2011-07-05",0,0,2011
"187","2011-07-06",0,2,2011
"188","2011-07-07",3,1,2011
"189","2011-07-08",0,0,2011
"190","2011-07-09",0,0,2011
