State,Adherents,Congregations,Geo_FIPS.x,PopOver25,LessThanHS25yrs,NumViolentCrime,TotalPop,PopDens,MedIncome
Alabama,10258.0,31.0,1,3217902,524368,17394,4817678,95.12582,43511
Alaska,924.0,3.0,2,460319,37700,4512,728300,1.276284,71829
Arizona,8557.0,29.0,4,4284776,604392,26129,6561516,57.76283,49928
Arkansas,3746.0,13.0,5,1949963,306199,14298,2947036,56.63513,41264
California,272814.0,246.0,6,24865866,4602986,164133,38066920,244.3645,61489
Colorado,16738.0,17.0,8,3453403,332246,16712,5197580,50.14941,59448
Connecticut,13418.0,36.0,9,2455577,257011,10083,3592053,741.7988,69899
Delaware,7124.0,5.0,10,620886,74267,5608,917060,470.6388,60231
District.Of.Columbia,4032.0,7.0,NA,NA,NA,NA,NA,NA,NA
Florida,164846.0,118.0,12,13561596,1837056,101909,19361792,361.0607,47212
Georgia,52578.0,69.0,13,6410416,959360,38450,9907756,172.2684,49342
Hawaii,616.0,2.0,15,950863,88221,3603,1392704,216.8433,68201
Idaho,1732.0,6.0,16,1015487,110254,3447,1599464,19.35387,47334
Illinois,359264.0,108.0,17,8560555,1062144,55971,12868747,231.7903,57166
Indiana,14573.0,33.0,18,4287819,531151,20077,6542411,182.6157,48737
Iowa,6528.0,18.0,19,2038942,178072,8060,3078116,55.10695,52716
Kansas,7744.0,21.0,20,1861894,187108,10528,2882946,35.26163,51872
Kentucky,11123.0,27.0,21,2939709,486190,10348,4383272,111.0073,43342
Louisiana,9806.0,27.0,22,3010828,516481,24354,4601049,106.4961,44991
Maine,1332.0,5.0,23,947959,82385,1621,1328535,43.07423,48804
Maryland,36484.0,54.0,24,3973193,437195,31604,5887776,606.5344,74149
Massachusetts,21768.0,39.0,25,4561346,477954,30645,6657291,853.4924,67846
Michigan,120351.0,77.0,26,6619834,710005,48327,9889024,174.9065,49087
Minnesota,16796.0,45.0,27,3599228,277778,12943,5383661,67.61122,60828
Mississippi,5012.0,16.0,28,1929591,348490,6821,2984345,63.60053,39464
Missouri,11708.0,39.0,29,4028930,482740,27370,6028076,87.69192,47764
Montana,333.0,2.0,30,683960,51731,2744,1006370,6.914455,46766
NA.,2600082.0,0.0,NA,NA,NA,NA,NA,NA,NA
Nebraska,6156.0,8.0,31,1205229,114260,4981,1855617,24.15408,52400
Nevada,1700.0,7.0,32,1847920,279940,18368,2761584,25.15535,52205
New.Hampshire,1616.0,3.0,33,919033,73490,2079,1321069,147.5618,65986
New.Jersey,160666.0,109.0,34,6052621,702498,27048,8874374,1206.705,72062
New.Mexico,4116.0,10.0,35,1360013,217985,12001,2080085,17.14853,44968
New.York,392953.0,257.0,36,13329734,1949187,75841,19594330,415.7824,58687
North.Carolina,26045.0,50.0,37,6495047,947402,33339,9750405,200.5517,46693
North.Dakota,636.0,3.0,38,458527,39740,1512,704925,10.21619,55579
Ohio,33408.0,60.0,39,7781111,869789,34778,11560380,282.9218,48849
Oklahoma,7392.0,18.0,40,2489023,331202,18013,3818851,55.6725,46235
Oregon,3988.0,12.0,41,2677376,281622,9595,3900343,40.63365,50521
Pennsylvania,80487.0,99.0,42,8764740,966788,46418,12758729,285.1577,53115
Rhode.Island,1444.0,6.0,44,716161,104524,2709,1053252,1018.802,56423
South.Carolina,5792.0,21.0,45,3163095,473627,28030,4727273,157.2576,45033
South.Dakota,1332.0,5.0,46,544604,50658,2068,834708,11.01038,50338
Tennessee,15384.0,38.0,47,4336243,652775,38889,6451365,156.454,44621
Texas,421972.0,166.0,48,16426730,3025336,113090,26092033,99.8808,52576
TOTAL..All.Selected.States.,0.0,2106.0,NA,NA,NA,NA,NA,NA,NA
Utah,4998.0,9.0,49,1642728,147559,5879,2858111,34.78306,59846
Vermont,300.0,1.0,50,434995,36355,812,626358,67.95935,54447
Virginia,213032.0,62.0,51,5501125,666397,17181,8185131,207.2705,64792
Washington,19092.0,36.0,53,4645804,456305,21116,6899123,103.8157,60294
West.Virginia,1908.0,7.0,54,1298614,202171,4862,1853881,77.12225,41576
Wisconsin,14744.0,23.0,55,3850995,356189,14126,5724692,105.7039,52738
Wyoming,716.0,3.0,56,381098,29366,1107,575251,5.924734,58252
