State,Adherents,Congregations,Geo_FIPS.x,PopOver25,LessThanHS25yrs,NumViolentCrime,TotalPop,PopDens,MedIncome,EducationRate,EducationRatePer100000,ViolenceRatePer100000,MuslimPopPer100000,EducationRatePer100000.1,ViolenceRatePer100000.1,MuslimPopPer100000.1
Alabama,10258.0,31.0,1,3217902,524368,17394,4817678,95.12582,43511,0.8370466223023573,8.370466223023573e-6,9.96389546997537e-6,9.978707584857269e-6,8.370466223023573e-6,3.6104530024630124e-8,2.1292415142730587e-8
Alaska,924.0,3.0,2,460319,37700,4512,728300,1.276284,71829,0.918100273940463,9.18100273940463e-6,9.938047507895098e-6,9.987312920499794e-6,9.18100273940463e-6,6.195249210490182e-8,1.2687079500205958e-8
Arizona,8557.0,29.0,4,4284776,604392,26129,6561516,57.76283,49928,0.8589443182094,8.589443182094e-6,9.960178409989398e-6,9.986958806470943e-6,8.589443182094e-6,3.9821590010601205e-8,1.3041193529056394e-8
Arkansas,3746.0,13.0,5,1949963,306199,14298,2947036,56.63513,41264,0.8429718922871869,8.42971892287187e-6,9.951483456598426e-6,9.987288923515017e-6,8.42971892287187e-6,4.851654340157364e-8,1.2711076484983555e-8
California,272814.0,246.0,6,24865866,4602986,164133,38066920,244.3645,61489,0.8148873640676741,8.148873640676741e-6,9.956883036505187e-6,9.928333051373739e-6,8.148873640676741e-6,4.311696349481387e-8,7.166694862626133e-8
Colorado,16738.0,17.0,8,3453403,332246,16712,5197580,50.14941,59448,0.9037917092213101,9.037917092213101e-6,9.967846574752096e-6,9.96779655147203e-6,9.037917092213101e-6,3.2153425247903836e-8,3.220344852796879e-8
Connecticut,13418.0,36.0,9,2455577,257011,10083,3592053,741.7988,69899,0.8953358009135939,8.95335800913594e-6,9.97192970148269e-6,9.962645317315752e-6,8.95335800913594e-6,2.8070298517310293e-8,3.73546826842477e-8
Delaware,7124.0,5.0,10,620886,74267,5608,917060,470.6388,60231,0.880385449180687,8.80385449180687e-6,9.938848057924236e-6,9.922316969445837e-6,8.80385449180687e-6,6.115194207576386e-8,7.768303055416222e-8
District.Of.Columbia,4032.0,7.0,NA,NA,NA,8026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,164846.0,118.0,12,13561596,1837056,101909,19361792,361.0607,47212,0.8645398373465778,8.645398373465778e-6,9.94736592563333e-6,9.914860153440343e-6,8.645398373465778e-6,5.263407436667019e-8,8.513984655965729e-8
Georgia,52578.0,69.0,13,6410416,959360,38450,9907756,172.2684,49342,0.8503435658465847,8.503435658465847e-6,9.961192019666208e-6,9.94693248400546e-6,8.503435658465847e-6,3.880798033379103e-8,5.306751599454003e-8
Hawaii,616.0,2.0,15,950863,88221,3603,1392704,216.8433,68201,0.9072200727128934,9.072200727128934e-6,9.97412946325996e-6,9.995576949588714e-6,9.072200727128934e-6,2.5870536740039522e-8,4.4230504112862455e-9
Idaho,1732.0,6.0,16,1015487,110254,3447,1599464,19.35387,47334,0.8914274628823412,8.914274628823412e-6,9.978449030425193e-6,9.989171372409758e-6,8.914274628823412e-6,2.1550969574807562e-8,1.082862759024273e-8
Illinois,359264.0,108.0,17,8560555,1062144,55971,12868747,231.7903,57166,0.8759258015397366,8.759258015397366e-6,9.956506255037883e-6,9.720824412819678e-6,8.759258015397366e-6,4.349374496211636e-8,2.791755871803214e-7
Indiana,14573.0,33.0,18,4287819,531151,20077,6542411,182.6157,48737,0.8761256013838271,8.761256013838272e-6,9.969312536311154e-6,9.977725337035537e-6,8.761256013838272e-6,3.0687463688844986e-8,2.2274662964463713e-8
Iowa,6528.0,18.0,19,2038942,178072,8060,3078116,55.10695,52716,0.9126645093386668,9.126645093386668e-6,9.973815151865622e-6,9.978792222255431e-6,9.126645093386668e-6,2.61848481343783e-8,2.1207777744568433e-8
Kansas,7744.0,21.0,20,1861894,187108,10528,2882946,35.26163,51872,0.8995066314194041,8.995066314194041e-6,9.963481799520352e-6,9.973138588097037e-6,8.995066314194041e-6,3.651820047964825e-8,2.686141190296315e-8
Kentucky,11123.0,27.0,21,2939709,486190,10348,4383272,111.0073,43342,0.834612881751221,8.346128817512209e-6,9.976392065105701e-6,9.974623979529448e-6,8.346128817512209e-6,2.3607934894298138e-8,2.5376020470552592e-8
Louisiana,9806.0,27.0,22,3010828,516481,24354,4601049,106.4961,44991,0.8284588159801889,8.284588159801889e-6,9.947068592401427e-6,9.97868746887938e-6,8.284588159801889e-6,5.293140759857155e-8,2.1312531120620535e-8
Maine,1332.0,5.0,23,947959,82385,1621,1328535,43.07423,48804,0.9130922328919289,9.130922328919288e-6,9.987798590176399e-6,9.989973918639705e-6,9.130922328919288e-6,1.220140982360269e-8,1.0026081360295363e-8
Maryland,36484.0,54.0,24,3973193,437195,31604,5887776,606.5344,74149,0.8899638149971572,8.899638149971572e-6,9.946322686189148e-6,9.93803432739289e-6,8.899638149971572e-6,5.36773138108515e-8,6.196567260711005e-8
Massachusetts,21768.0,39.0,25,4561346,477954,30645,6657291,853.4924,67846,0.8952164558443934,8.952164558443933e-6,9.953967762562881e-6,9.967302015189062e-6,8.952164558443933e-6,4.6032237437119695e-8,3.269798481093886e-8
Michigan,120351.0,77.0,26,6619834,710005,48327,9889024,174.9065,49087,0.8927457999702108,8.927457999702108e-6,9.951130667697843e-6,9.878298404372363e-6,8.927457999702108e-6,4.886933230215641e-8,1.2170159562763725e-7
Minnesota,16796.0,45.0,27,3599228,277778,12943,5383661,67.61122,60828,0.9228228942428766,9.228228942428765e-6,9.975958738858186e-6,9.968801898930859e-6,9.228228942428765e-6,2.4041261141814095e-8,3.1198101069142355e-8
Mississippi,5012.0,16.0,28,1929591,348490,6821,2984345,63.60053,39464,0.8193969602884756,8.193969602884757e-6,9.977144063437706e-6,9.983205695052012e-6,8.193969602884757e-6,2.2855936562294238e-8,1.6794304947986912e-8
Missouri,11708.0,39.0,29,4028930,482740,27370,6028076,87.69192,47764,0.8801815866743776,8.801815866743777e-6,9.954595794744459e-6,9.980577550780714e-6,8.801815866743777e-6,4.54042052555409e-8,1.9422449219286554e-8
Montana,333.0,2.0,30,683960,51731,2744,1006370,6.914455,46766,0.9243654599684192,9.243654599684192e-6,9.97273368641752e-6,9.996691077834197e-6,9.243654599684192e-6,2.7266313582479605e-8,3.3089221658038295e-9
NA.,2600082.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,6156.0,8.0,31,1205229,114260,4981,1855617,24.15408,52400,0.9051964398467013,9.051964398467013e-6,9.973157176292305e-6,9.966825050643533e-6,9.051964398467013e-6,2.6842823707693993e-8,3.3174949356467415e-8
Nevada,1700.0,7.0,32,1847920,279940,18368,2761584,25.15535,52205,0.8485107580414737,8.485107580414736e-6,9.933487447783592e-6,9.993844112654187e-6,8.485107580414736e-6,6.651255221640913e-8,6.155887345813128e-9
New.Hampshire,1616.0,3.0,33,919033,73490,2079,1321069,147.5618,65986,0.9200355155908438,9.200355155908438e-6,9.984262744792286e-6,9.987767482243547e-6,9.200355155908438e-6,1.573725520771436e-8,1.2232517756453298e-8
New.Jersey,160666.0,109.0,34,6052621,702498,27048,8874374,1206.705,72062,0.8839349101818865,8.839349101818865e-6,9.969521230455241e-6,9.818955117284892e-6,8.839349101818865e-6,3.047876954475887e-8,1.8104488271510758e-7
New.Mexico,4116.0,10.0,35,1360013,217985,12001,2080085,17.14853,44968,0.839718443867816,8.39718443867816e-6,9.942305242333846e-6,9.980212347091585e-6,8.39718443867816e-6,5.7694757666153065e-8,1.97876529084148e-8
New.York,392953.0,257.0,36,13329734,1949187,75841,19594330,415.7824,58687,0.8537715006165915,8.537715006165914e-6,9.961294415272172e-6,9.799455760926758e-6,8.537715006165914e-6,3.870558472782688e-8,2.005442390732421e-7
North.Carolina,26045.0,50.0,37,6495047,947402,33339,9750405,200.5517,46693,0.8541346967928023,8.541346967928023e-6,9.96580757414692e-6,9.973288289050558e-6,8.541346967928023e-6,3.419242585307995e-8,2.671171094944261e-8
North.Dakota,636.0,3.0,38,458527,39740,1512,704925,10.21619,55579,0.9133311669759905,9.133311669759905e-6,9.978550909671242e-6,9.990977763591872e-6,9.133311669759905e-6,2.144909032875838e-8,9.022236408128524e-9
Ohio,33408.0,60.0,39,7781111,869789,34778,11560380,282.9218,48849,0.8882178907356546,8.882178907356546e-6,9.969916213826882e-6,9.97110129597816e-6,8.882178907356546e-6,3.0083786173118875e-8,2.8898704021840114e-8
Oklahoma,7392.0,18.0,40,2489023,331202,18013,3818851,55.6725,46235,0.8669349379254431,8.66934937925443e-6,9.952831362103418e-6,9.980643392475904e-6,8.66934937925443e-6,4.716863789658198e-8,1.9356607524095597e-8
Oregon,3988.0,12.0,41,2677376,281622,9595,3900343,40.63365,50521,0.8948141762681072,8.948141762681072e-6,9.975399599471122e-6,9.98977525822729e-6,8.948141762681072e-6,2.4600400528876563e-8,1.0224741772710758e-8
Pennsylvania,80487.0,99.0,42,8764740,966788,46418,12758729,285.1577,53115,0.8896957582312767,8.896957582312766e-6,9.96361863317263e-6,9.936916130125501e-6,8.896957582312766e-6,3.638136682736972e-8,6.308386987449926e-8
Rhode.Island,1444.0,6.0,44,716161,104524,2709,1053252,1018.802,56423,0.8540495782372958,8.540495782372958e-6,9.97427965956865e-6,9.986290080626478e-6,8.540495782372958e-6,2.5720340431349765e-8,1.3709919373521248e-8
South.Carolina,5792.0,21.0,45,3163095,473627,28030,4727273,157.2576,45033,0.8502646932830029,8.502646932830029e-6,9.94070577265159e-6,9.987747693014556e-6,8.502646932830029e-6,5.929422734840996e-8,1.2252306985443828e-8
South.Dakota,1332.0,5.0,46,544604,50658,2068,834708,11.01038,50338,0.9069819538600524,9.069819538600524e-6,9.975224869056005e-6,9.984042323782689e-6,9.069819538600524e-6,2.4775130943994784e-8,1.5957676217311923e-8
Tennessee,15384.0,38.0,47,4336243,652775,38889,6451365,156.454,44621,0.8494606967367835,8.494606967367835e-6,9.939719733730769e-6,9.976153883712981e-6,8.494606967367835e-6,6.02802662692314e-8,2.384611628701833e-8
Texas,421972.0,166.0,48,16426730,3025336,113090,26092033,99.8808,52576,0.8158284698171822,8.158284698171822e-6,9.95665726775679e-6,9.838275537977435e-6,8.158284698171822e-6,4.3342732243210026e-8,1.6172446202256452e-7
TOTAL..All.Selected.States.,0.0,2106.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,4998.0,9.0,49,1642728,147559,5879,2858111,34.78306,59846,0.9101744171889686,9.101744171889687e-6,9.979430469985245e-6,9.982512925495196e-6,9.101744171889687e-6,2.05695300147545e-8,1.7487074504804045e-8
Vermont,300.0,1.0,50,434995,36355,812,626358,67.95935,54447,0.9164243267163991,9.16424326716399e-6,9.987036167814572e-6,9.995210406828045e-6,9.16424326716399e-6,1.2963832185427502e-8,4.7895931719559745e-9
Virginia,213032.0,62.0,51,5501125,666397,17181,8185131,207.2705,64792,0.8788616873821264,8.788616873821265e-6,9.979009499053834e-6,9.739732937689085e-6,8.788616873821265e-6,2.09905009461669e-8,2.6026706231091474e-7
Washington,19092.0,36.0,53,4645804,456305,21116,6899123,103.8157,60294,0.9017812632646578,9.017812632646579e-6,9.969393211282071e-6,9.972326917493716e-6,9.017812632646579e-6,3.0606788717928353e-8,2.767308250628377e-8
West.Virginia,1908.0,7.0,54,1298614,202171,4862,1853881,77.12225,41576,0.8443178650468884,8.443178650468885e-6,9.97377393694633e-6,9.989708077271411e-6,8.443178650468885e-6,2.6226063053669575e-8,1.0291922728589376e-8
Wisconsin,14744.0,23.0,55,3850995,356189,14126,5724692,105.7039,52738,0.9075072805859264,9.075072805859264e-6,9.975324436668383e-6,9.97424490260786e-6,9.075072805859264e-6,2.4675563331616792e-8,2.5755097392139176e-8
Wyoming,716.0,3.0,56,381098,29366,1107,575251,5.924734,58252,0.9229437047688521,9.229437047688522e-6,9.98075622641247e-6,9.987553259359827e-6,9.229437047688522e-6,1.9243773587529618e-8,1.2446740640172725e-8
