"","State_Code","Agency_ID","Incident_Date","Quarter","Victims","Offenders","Offender_Race","UCR_Code","Location_Code","Bias_Motivation","Anti_Muslim","Victim_Type"
"1","01","AL0011100",2011-12-01,"4",0,1,"W","23*","08","12","N"," B"
"2","01","AL0011200",2011-07-16,"3",1,2,"W","13C","14","12","N","I"
"3","01","AL0011200",2011-11-18,"4",1,2,"W","13B","21","32","N","I"
"4","01","AL0011300",2011-05-02,"2",1,0,"U","13B","13","11","N","I"
"5","01","AL0011300",2011-05-16,"2",1,1,"W","13B","10","12","N","I"
"6","01","AL0011900",2011-12-01,"4",1,1,"B","13B","20","11","N","I"
"7","01","AL0012200",2011-02-27,"1",1,1,"W","13A","20","11","N","I"
"8","01","AL0012200",2011-11-30,"4",0,0,"U","23*","08","11","N"," B"
"9","01","AL0020500",2011-03-06,"1",1,0,"U","290","20","12","N","I"
"10","01","AL0020500",2011-06-15,"2",1,0,"U","290","20","12","N","I"
"11","01","AL0020800",2011-11-20,"4",1,0,"U","23*","12","11","N","I"
"12","01","AL0030100",2011-03-21,"1",1,0,"U","13B","25","33","N","I"
"13","01","AL0040100",2011-05-11,"2",1,0,"U","13B","13","12","N","I"
"14","01","AL0050300",2011-04-06,"2",0,0,"U","290","06","15","N","      O"
"15","01","AL0050300",2011-04-06,"2",0,0,"U","290","13","15","N","      O"
"16","01","AL0051200",2011-04-23,"2",1,1,"W","13B","14","12","N","I"
"17","01","AL0051200",2011-08-21,"3",2,1,"W","13B","56","41","N","I"
"18","01","AL0051200",2011-08-27,"3",1,0,"U","13B","20","41","N","I"
"19","01","AL0080000",2011-06-07,"2",3,1,"W","13C","20","11","N","I"
"20","01","AL0080000",2011-08-10,"3",1,1,"W","13C","20","12","N","I"
"21","01","AL0100100",2011-11-15,"4",1,1,"B","13B","12","12","N","I"
"22","01","AL0110200",2011-12-30,"4",1,0,"U","13C","13","12","N","I"
"23","01","AL0110300",2011-01-11,"1",1,0,"U","13A","13","12","N","I"
"24","01","AL0110400",2011-08-13,"3",1,3,"W","13A","17","12","N","I"
"25","01","AL0110500",2011-03-18,"1",1,0,"U","13C","20","41","N","I"
"26","01","AL0110500",2011-04-25,"2",1,0,"U","290","18","12","N","I"
"27","01","AL0110500",2011-05-11,"2",1,0,"U","13C","53","43","N","I"
