"","State_Code","State_ID","Year","Muslim_HC","General_HC"
"1",1,"AL",2011,0,83
"2",1,"AL",2012,0,6
"3",1,"AL",2013,0,6
"4",2,"AZ",2011,6,192
"5",2,"AZ",2012,2,176
"6",2,"AZ",2013,7,155
"7",3,"AR",2011,0,11
"8",3,"AR",2012,0,51
"9",3,"AR",2013,0,27
"10",4,"CA",2011,17,1040
"11",4,"CA",2012,20,910
"12",4,"CA",2013,21,843
"13",5,"CO",2011,7,186
"14",5,"CO",2012,6,189
"15",5,"CO",2013,3,128
"16",6,"CT",2011,3,140
"17",6,"CT",2012,2,149
"18",6,"CT",2013,0,145
"19",7,"DE",2011,0,15
"20",7,"DE",2012,0,10
"21",7,"DE",2013,0,12
"22",8,"DC",2011,0,83
"23",8,"DC",2012,0,72
"24",8,"DC",2013,0,72
"25",9,"FL",2011,2,123
"26",9,"FL",2012,4,144
"27",9,"FL",2013,1,76
"28",10,"GA",2011,1,17
"29",10,"GA",2012,0,21
"30",10,"GA",2013,0,57
"31",11,"ID",2011,1,33
"32",11,"ID",2012,1,35
"33",11,"ID",2013,0,32
"34",12,"IL",2011,1,69
"35",12,"IL",2012,0,85
"36",12,"IL",2013,2,105
"37",13,"IN",2011,2,100
"38",13,"IN",2012,0,37
"39",13,"IN",2013,1,72
"40",14,"IA",2011,1,15
"41",14,"IA",2012,1,8
"42",14,"IA",2013,0,10
"43",15,"KS",2011,2,67
"44",15,"KS",2012,2,84
"45",15,"KS",2013,1,64
"46",16,"KY",2011,8,155
"47",16,"KY",2012,2,204
"48",16,"KY",2013,1,171
"49",17,"LA",2011,0,5
"50",17,"LA",2012,0,4
"51",17,"LA",2013,1,22
"52",18,"ME",2011,1,55
"53",18,"ME",2012,1,52
"54",18,"ME",2013,1,25
"55",19,"MD",2011,0,49
"56",19,"MD",2012,0,35
"57",19,"MD",2013,1,51
"58",20,"MA",2011,8,367
"59",20,"MA",2012,7,290
"60",20,"MA",2013,14,350
"61",21,"MI",2011,14,346
"62",21,"MI",2012,17,634
"63",21,"MI",2013,8,329
"64",22,"MN",2011,5,148
"65",22,"MN",2012,1,72
"66",22,"MN",2013,4,144
"67",23,"MS",2011,0,1
"68",23,"MS",2012,0,18
"69",23,"MS",2013,0,4
"70",24,"MO",2011,1,117
"71",24,"MO",2012,1,104
"72",24,"MO",2013,4,102
"73",25,"MT",2011,0,23
"74",25,"MT",2012,0,36
"75",25,"MT",2013,0,31
"76",26,"NB",2011,0,36
"77",26,"NB",2012,0,9
"78",26,"NB",2013,0,33
"79",27,"NV",2011,0,59
"80",27,"NV",2012,1,91
"81",27,"NV",2013,2,73
"82",28,"NH",2011,1,22
"83",28,"NH",2012,1,30
"84",28,"NH",2013,1,21
"85",29,"NJ",2011,16,508
"86",29,"NJ",2012,11,505
"87",29,"NJ",2013,10,414
"88",30,"NM",2011,1,28
"89",30,"NM",2012,0,2
"90",30,"NM",2013,1,12
"91",31,"NY",2011,19,544
"92",31,"NY",2012,31,720
"93",31,"NY",2013,22,615
"94",32,"NC",2011,3,112
"95",32,"NC",2012,2,119
"96",32,"NC",2013,1,118
"97",33,"ND",2011,1,27
"98",33,"ND",2012,0,42
"99",33,"ND",2013,1,51
"100",34,"OH",2011,8,228
"101",34,"OH",2012,4,264
"102",34,"OH",2013,4,360
"103",35,"OK",2011,1,29
"104",35,"OK",2012,2,21
"105",35,"OK",2013,2,41
"106",36,"OR",2011,0,128
"107",36,"OR",2012,2,52
"108",36,"OR",2013,0,68
"109",37,"PA",2011,1,53
"110",37,"PA",2012,1,38
"111",37,"PA",2013,2,64
"112",38,"RI",2011,1,20
"113",38,"RI",2012,0,12
"114",38,"RI",2013,0,7
"115",39,"SC",2011,1,135
"116",39,"SC",2012,1,104
"117",39,"SC",2013,2,51
"118",40,"SD",2011,0,21
"119",40,"SD",2012,1,30
"120",40,"SD",2013,0,13
"121",41,"TN",2011,4,144
"122",41,"TN",2012,4,321
"123",41,"TN",2013,1,196
"124",42,"TX",2011,6,152
"125",42,"TX",2012,4,175
"126",42,"TX",2013,3,132
"127",43,"UT",2011,1,68
"128",43,"UT",2012,1,102
"129",43,"UT",2013,1,75
"130",44,"VT",2011,1,7
"131",44,"VT",2012,0,14
"132",44,"VT",2013,0,12
"133",45,"VA",2011,5,144
"134",45,"VA",2012,6,138
"135",45,"VA",2013,5,119
"136",46,"WA",2011,5,213
"137",46,"WA",2012,6,274
"138",46,"WA",2013,7,291
"139",47,"WV",2011,1,18
"140",47,"WV",2012,1,27
"141",47,"WV",2013,1,56
"142",48,"WI",2011,0,76
"143",48,"WI",2012,1,69
"144",48,"WI",2013,0,50
"145",49,"WY",2011,0,2
"146",49,"WY",2012,0,2
"147",49,"WY",2013,0,1
"148",50,"AK",2011,1,8
"149",50,"AK",2012,1,6
"150",50,"AK",2013,0,8
