county,state,Adherents,Congregations,FIPS State,FIPS County,Geo_FIPS,NumViolentCrime,PopOver25,LessThanHS25yrs,TotalPop,PopDens,MedIncome
Acadia,Louisiana,0.0,0.0,22,001,22001,1161.325753,39566,10892,62031,94.6866,37684
Ada,Idaho,924.0,3.0,16,001,16001,2198.938545,267372,16586,409239,388.7977,55805
Adair,Iowa,0.0,0.0,19,001,19001,1029.274161,5413,442,7543,13.25029,47264
Adair,Kentucky,0.0,0.0,21,001,21001,647.9250335,12489,3252,19032,46.95981,34490
Adair,Missouri,0.0,0.0,29,001,29001,2959.227552,13950,1754,25642,45.1982,34976
Adams,Idaho,0.0,0.0,16,003,16003,434.2273308,2949,229,3908,2.867087,38583
Adams,Illinois,0.0,0.0,17,001,17001,2637.022486,45935,4485,67113,78.47617,45472
Adams,Indiana,0.0,0.0,18,001,18001,401.5713662,20871,3374,34533,101.8588,47964
Adams,Iowa,0.0,0.0,19,003,19003,1636.410125,2854,270,3937,9.297689,47335
Adams,Mississippi,0.0,0.0,28,001,28001,4034.618019,22556,4622,32189,69.61186,28435
Adams,Nebraska,0.0,0.0,31,001,31001,3522.044566,20190,1843,31396,55.73857,51342
Adams,Wisconsin,0.0,0.0,55,001,55001,2935.345036,16154,2191,20604,31.91225,45366
Alachua,Florida,2794.0,2.0,12,001,12001,4032.742416,148913,12169,251759,287.718,42045
Albany,New York,4567.0,3.0,36,001,36001,3269.548706,203703,15275,306124,585.5424,59940
Albany,Wyoming,616.0,2.0,56,001,56001,2610.258611,20358,856,37220,8.708796,42298
Alcorn,Mississippi,0.0,0.0,28,003,28003,0.0,25153,5377,37279,93.18874,33790
Alexander,Illinois,0.0,0.0,17,003,17003,5227.155395,5271,1365,7821,33.2089,25495
Allamakee,Iowa,0.0,0.0,19,005,19005,983.3532345,9981,1169,14152,22.14427,47886
Allegany,New York,0.0,0.0,36,003,36003,1838.410158,30565,3642,48387,47.00927,42726
Allen,Indiana,2216.0,4.0,18,003,18003,3342.563511,230974,24634,360990,549.1946,49124
Allen,Kansas,0.0,0.0,20,001,20001,3220.962535,8942,918,13212,26.40799,38712
Allen,Kentucky,0.0,0.0,21,003,21003,856.0118753,13512,3156,20219,58.71855,40273
Allen,Louisiana,0.0,0.0,22,003,22003,1213.829829,17797,3978,25691,33.72199,39440
Allendale,South Carolina,0.0,0.0,45,005,45005,3784.54145,6948,1999,10027,24.57055,25495
Amite,Mississippi,0.0,0.0,28,005,28005,92.61403103,9165,2316,12957,17.74688,29580
Anderson,Kansas,0.0,0.0,20,003,20003,2791.461412,5404,619,7962,13.73597,40567
Anderson,Kentucky,0.0,0.0,21,005,21005,823.8217968,14588,1832,21664,107.3368,53410
Anderson,South Carolina,0.0,0.0,45,007,45007,5697.235352,128851,23197,189763,265.2447,41822
Anderson,Tennessee,0.0,0.0,47,001,47001,3479.367773,53184,7498,75346,223.4713,44199
Anderson,Texas,0.0,0.0,48,001,48001,2722.117202,41655,8268,58084,54.66205,42511
Andrew,Missouri,0.0,0.0,29,003,29003,970.3163576,11995,1112,17373,40.14996,53986
Andrews,Texas,0.0,0.0,48,003,48003,2767.264379,9780,2277,16126,10.74556,61250
Angelina,Texas,2541.0,1.0,48,005,48005,3943.057411,56229,11693,87433,109.5957,42374
Antelope,Nebraska,0.0,0.0,31,003,31003,275.0190985,4596,407,6531,7.618834,45417
Appanoose,Iowa,0.0,0.0,19,007,19007,3338.582677,9012,1121,12754,25.64688,41525
Appling,Georgia,0.0,0.0,13,001,13001,3418.989547,12194,2970,18421,36.32753,38461
Aransas,Texas,0.0,0.0,48,007,48007,3845.830884,17569,2753,23889,94.76976,42247
Archer,Texas,0.0,0.0,48,009,48009,1236.405266,6123,778,8853,9.802794,58274
Armstrong,Texas,0.0,0.0,48,011,48011,1491.769547,1362,144,1947,2.141657,61250
Arthur,Nebraska,0.0,0.0,31,005,31005,0.0,307,19,476,0.6654043,41103
Ascension,Louisiana,0.0,0.0,22,005,22005,3181.162389,71177,8063,112308,387.2946,70207
Ashland,Wisconsin,0.0,0.0,55,003,55003,3476.738369,10785,1021,16065,15.37269,39172
Assumption,Louisiana,0.0,0.0,22,007,22007,2145.400851,15391,4304,23170,68.41705,47961
Atascosa,Texas,0.0,0.0,48,013,48013,2874.305645,29126,7049,46343,38.00026,50756
Atchison,Kansas,0.0,0.0,20,005,20005,3193.957057,10241,842,16737,38.81748,44648
Atchison,Missouri,0.0,0.0,29,005,29005,1051.295994,3999,442,5520,10.08584,44216
Atkinson,Georgia,0.0,0.0,13,003,13003,2993.722839,5180,1703,8297,24.4474,30403
Atlantic,New Jersey,9422.0,4.0,34,001,34001,3517.51131,186811,28549,275325,495.4522,54392
Attala,Mississippi,0.0,0.0,28,007,28007,809.1037219,12758,3055,19303,26.26323,31671
Audrain,Missouri,0.0,0.0,29,007,29007,2064.71254,17380,2608,25637,37.03513,43139
Audubon,Iowa,0.0,0.0,19,009,19009,456.8527919,4305,385,5935,13.39846,47556
Aurora,South Dakota,0.0,0.0,46,003,46003,619.9854121,1848,217,2729,3.85221,47024
Austin,Texas,0.0,0.0,48,015,48015,1911.384443,19153,2674,28724,44.42943,54603
Avoyelles,Louisiana,0.0,0.0,22,009,22009,3653.439662,27987,8203,41604,49.97873,33781
Bacon,Georgia,0.0,0.0,13,005,13005,1830.684051,7299,1882,11196,43.29874,37698
Bailey,Texas,0.0,0.0,48,017,48017,2791.023843,4258,1501,7084,8.568002,41982
Baker,Florida,0.0,0.0,12,003,12003,1332.791848,17562,3445,27057,46.23303,46865
Baker,Georgia,0.0,0.0,13,007,13007,1128.936423,2264,461,3342,9.77354,45526
Baldwin,Georgia,0.0,0.0,13,009,13009,3610.32631,27826,4864,45854,177.8364,31758
Ballard,Kentucky,0.0,0.0,21,007,21007,2112.084483,5841,944,8274,33.5443,42852
Bamberg,South Carolina,0.0,0.0,45,009,45009,5043.456195,10014,2411,15649,39.78193,32738
Bandera,Texas,0.0,0.0,48,019,48019,706.0427521,15774,2152,20642,26.09738,48587
Banks,Georgia,0.0,0.0,13,011,13011,3390.47827,12272,2749,18317,78.92171,42826
Banner,Nebraska,0.0,0.0,31,007,31007,131.5789474,580,44,788,1.056139,46875
Bannock,Idaho,400.0,1.0,16,005,16005,2835.322196,51204,4296,83394,74.99543,43953
Barber,Kansas,0.0,0.0,20,007,20007,2262.908866,3477,275,4898,4.318946,48462
Barbour,West Virginia,3232.0,0.0,54,001,54001,1152.00388,11415,2387,16723,49.03257,36351
Barnwell,South Carolina,0.0,0.0,45,011,45011,5965.244012,14482,2821,22287,40.64059,33639
Barren,Kentucky,0.0,0.0,21,009,21009,1421.500786,29028,5897,42691,87.56396,38885
Barron,Wisconsin,616.0,2.0,55,005,55005,1416.919948,32404,3560,45718,52.9934,44709
Barrow,Georgia,0.0,0.0,13,013,13013,2823.184027,45470,8066,70873,442.1021,53256
Barry,Missouri,0.0,0.0,29,009,29009,4135.486412,24580,4528,35681,45.84768,38789
Bartholomew,Indiana,616.0,2.0,18,005,18005,3649.736506,52856,5460,78628,193.233,54488
Barton,Kansas,0.0,0.0,20,009,20009,4078.818449,18326,2595,27566,30.78624,43573
Barton,Missouri,0.0,0.0,29,011,29011,2585.71776,8275,1197,12286,20.75616,38792
Bartow,Georgia,120.0,1.0,13,015,13015,4248.914674,65807,12318,100771,219.2847,48306
Bastrop,Texas,0.0,0.0,48,021,48021,2759.386327,50371,10278,75708,85.24232,53382
Bates,Missouri,0.0,0.0,29,013,29013,3243.760847,11481,1825,16780,20.05524,39744
Bath,Kentucky,0.0,0.0,21,011,21011,194.8822234,7965,1953,11870,42.57655,33091
Bay,Florida,1397.0,1.0,12,005,12005,4805.617121,119564,14866,172988,228.0781,47274
Bayfield,Wisconsin,0.0,0.0,55,007,55007,2079.607921,11463,708,15064,10.1931,45158
Baylor,Texas,0.0,0.0,48,023,48023,1573.281811,2693,415,3648,4.205276,33019
Beadle,South Dakota,0.0,0.0,46,005,46005,2822.058244,12096,1962,17922,14.23839,44258
Bear Lake,Idaho,0.0,0.0,16,007,16007,1709.835788,3920,287,5941,6.094679,44974
Beaufort,South Carolina,0.0,0.0,45,013,45013,3547.774756,117294,9813,168453,292.3109,57295
Beauregard,Louisiana,0.0,0.0,22,011,22011,705.6034839,23765,3772,36109,31.19994,46420
Beaverhead,Montana,0.0,0.0,30,001,30001,866.680933,6340,408,9294,1.677126,42577
Bedford,Tennessee,0.0,0.0,47,003,47003,2420.292717,29668,6508,45660,96.40326,40989
Belknap,New Hampshire,0.0,0.0,33,001,33001,3356.705953,43771,3862,60252,150.5426,60782
Bell,Kentucky,0.0,0.0,21,013,21013,3668.878402,19635,6186,28234,78.64615,24976
